Source,Council Member,Legal Name of Organization,EIN,*,Amount ($,Agency,Program Name,Address,Address 2 (optional,City,State,Zip Code,Purpose of Funds,Fiscal Conduit Name,FC EIN
Local,Quinn,"  52nd Street Project, Inc., The",133467948,,"$7,500",DCLA,,789 10th Avenue,,New York,,10019,"To support The 52nd Street Projects theatrical and academic mentoring programs, including theater programs that results in six to eight full productions annually and playwriting programs. Funds will support salaries of staff members to teach and coordinate theatrical and academic programs.",,
Youth,Gentile,"  62nd Precinct Community Council, Inc.",112957305,,"$1,000",DYCD,,1925 Bath Avenue,,Brooklyn,NY,11214,"To support various programs to foster strong community relations, including a national night out, childrens community service awards, community clean ups, and monthly meetings within the community,",NIA Community Services Network,112697931
Youth,Gentile,  68th Precinct Community Council,203970147,,"$1,000",DYCD,,333 65th Street,,Brooklyn,NY,,"To support National Night Out Against Crime, an night when police and communities together take a stance against crime and drugs, improve police/community relations and educate residents about crime statistics and crime prevention.",NIA Community Services Network,112697931
Youth,Gentile,"  68th Precinct Youth Council, Inc.",112478910,,"$3,500",DYCD,,co Fathelbab,1057 Todt Hill Road,Staten Island,NY,10304,"To purchase equipment and support costs for recreational baseball, and outdoor and indoor soccer sports programs for youth in the 68th Police Precinct and surrounding neighborhoods.",,
Local,Eugene,"  71st Precinct Community Council, Inc.",043784543,,"$6,000",DFTA,,421 Empire Boulevard,,Brooklyn,NY,11225,"To support the Explorers Program which provides educational, recreational and health related activities and services for the community. ",,
Local,James,"  71st Precinct Community Council, Inc.",043784543,,"$5,000",DYCD,,421 Empire Boulevard,,Brooklyn,NY,11225,"To provide for the Explorers Program: uniforms, annual events,: family day picnic, turkey giveaway for the less fortunate in community and toys giveaways.",,
Youth,Mealy,"  71st Precinct Community Council, Inc.",043784543,,"$10,000",DYCD,,421 Empire Boulevard,,Brooklyn,NY,11225,"To support programming, including Explorers Program; Family Day Picnic; National Night Out; Halloween Safe Path Walk; and Turkey Giveaway.",,
Local,Crowley,"  75th Street Block Association, Inc.",113442596,,"$1,000",DYCD,,60-52 75th Street,,Middle Villlage,,11379,"To support the programs and costs of the Block Association, including operating costs and supplies.","Maspeth Town Hall, Inc.",237259702
Youth,Lander,"  78th Precinct Youth Council, Inc.",112947101,,"$10,000",DYCD,,123 Seventh Avenue PMB 202,,Brooklyn,NY,11215,"To support training and practice for youth baseball, soccer and other sports programs.",,
Local,Dromm,  82nd Street Academics,200788352,,"$5,000",DYCD,,81-10 35th Avenue,,Jackson Heights,NY,11372,The funds will extend a successful program for Academic Afterschool Support for an additional 90 minutes per week for 130 students at Renaissance Charter School.,,
Local,Ferreras,  82nd Street District Management Association Inc,113096017,,"$3,500",DSBS,,37-06 82nd Street,Suite 309,Jackson Heights,NY,11372,"To support the Viva La Comida! annual food, music, and cultural festival on 82nd Street between Roosevelt Avenue and Baxter Avenue. Funding will cover costs related to producing the festival.",,
Youth,Garodnick,  92nd Street Y (Young Men's and Young Women's Hebrew Association),131624229,,"$5,000",DYCD,,1395 Lexington Avenue,,New York,NY,10128,"Funding will support the 92nd Street Y's literacy, arts, science, recreational and civics programs for low-income families and youth.",,
Local,Comrie, 103rd Precinct Community Council,205484666,,"$6,000",DYCD,,168-02 PO Edward Byrne Aveue,,Jamaica,NY,11432-5229,"To support a Crime Prevention Fair to educate and involve the community on safety issues, and to support a Law Enforcement Explorer group for youth.  ",,
Youth,Reyna, 104th Precinct Law Explorers,331058210,,$0,DYCD,,64-02 Catalpa Avenue,,Ridgewood,NY,11385,"Funds will support educational services, leadership skills building and responsibility activities for youth.",,
Youth,Ferreras," 110th Precinct Community Council, Inc.",432025653,,"$3,500",DYCD,,94-41 43rd Avenue,,Elmhurst,NY,11373,To support youth centered programming designed to heighten crime and drug prevention awareness in youth through the annual Night Out Against Crime event. ,,
Local,Comrie, 113th Precinct Community Council,113218377,,"$6,000",DYCD,,167-02 Baisley Boulevard,,Jamaica,NY,11434,"To build strong relationships between the youth and the police and to provide youth with cultural, educational, and other activities.  ",,
Local,Vallone," 114th Civilian Observation Patrol, Inc.",112572881,,"$21,000",DSBS,,31-38 29 Street,Bsmt,Astoria,NY,11106,"Funds for the operational expenses of the Civilian Observation Patrol including the continuation of its free graffiti removal and maintenance program, VIN Etching program, neighborhood street patrols, and miscellaneous office supplies and expenses. ",,
Local,Van Bramer," 114th Civilian Observation Patrol, Inc.",112572881,,"$3,500",DSBS,,31-38 29 Street,Bsmt,Astoria,NY,11106,"To continue a free graffiti removal and maintenance program, VIN Etching program, neighborhood street patrols, and support the personnel and operating expenses for these programs.",,
Boro,Oddo," 122nd Precinct Community Council, Inc.",133371153,,"$3,500",DYCD,,2320 Hylan Boulevard,,Staten Island,NY,10306,Fund for National Night Out event jointly conducted by NY City Police Department and other Staten Island Community Council Precinct 120th and 123rd in Staten Island in the month of August.,,
Boro,Foster," 161st Street Merchants Association, Inc.",300064721,,"$3,500",DYCD,,2865 Kingsbridge Terrace,Suie 7M,Bronx,NY,10463,"To support the Back to School Jamm/Health Fair and Holiday Celebration for the South Bronx's homeless children, less fortunate youth and their families. ",,
Local,Arroyo," 161st Street Merchants Association, Inc.",300064721,,"$4,000",DYCD,,2865 KingsbridgeTerrace,Suite 7M,Bronx,NY,10463,"To support a Back-to-School Jamm/Health Fair, a Holiday Celebration and other programs and activities for children and families in the community and for homeless children and their families.   ",,
Local,Rodriguez," 50th Precinct Community Council, Inc.",133493334,,"$3,500",NYPD,,3450 Kingsbridge Avenue,,Bronx,NY,10463,"To support the annual National Night Out Against Crime event, a program uniting the community and police on crime and drug prevention.",,
Youth,Wills, 103rd Precinct Community Council,205484666,,"$3,500",DYCD,,168-02 PO Edward Byrne Aveue,,Jamaica,NY,11432-5229,"To support the Crime Prevention Fair, Law Enforcement Explorer Group youth field trips and education forums, and the annual National Night Out Against Crime. Funding will be utilized to purchase uniform accessories and to hire entertainment vendors for events.",,
