Source,Council Member,Legal Name of Organization,EIN,Status,Amount ($,Agency,Program Name,Address,Address 2 (optional,City,State,Zip Code,Purpose of Funds,Fiscal Conduit Name,FC EIN
YOUTH,Maisel,"   1 Youth At A Time, Inc.",261368079,*,5000,DYCD,,9530 Avenue L,,Brooklyn,NY,11236,"The program will provide the youth with mentorship, home economics, job readiness, college prep preparation.",Bergen Basin Community Development Corp dba Millennium Development,113199040
YOUTH,Levin,"   5 Boros Basketball, Inc.",272623043,,4000,DYCD,,122 Beadel st,,Brooklyn,NY,11222,"To provide supplies such as uniforms, sweatshirts, warm-ups, as well as to support renting a gymnasium.",,
YOUTH,Reynoso,"   5 Boros Basketball, Inc.",272623043,,3500,DYCD,,122 Beadel st,,Brooklyn,NY,11222,"To support a youth basketball program.  Funding will be allocated for gym rental and supplies such as uniforms, sweatshirts, and warm-ups.",,
LOCAL,Cabrera,  46th Precinct Community Council,800448459,*,5000,DYCD,,PO Box 192 - Fordham Station,,Bronx,NY,10458-0192,Requested funds will be used to support outdoor community events. ,,
YOUTH,Vacca,  49th Precinct Law Enforcement Explorers Program,020798353,*,3500,DYCD,,2121 Eastchester Rd,,Bronx,NY,10461,"To fund the purchase of equipment for training and camping, to purchase uniforms for the youth such as shoes, boots, polo shirts, name tags, and refreshments",Neighborhood Initiatives Development Corporation (NIDC),133110811
LOCAL,Johnson,"  52nd Street Project, Inc., The",133467948,,5000,DCLA,,789 10th Avenue,,New York,NY,10019,"To support The 52nd Street Projects theatrical and academic mentoring programs, including theater programs that results in six to eight full productions annually and playwriting programs. Funds will support salaries of staff members to teach and coordinate theatrical and academic programs.",,
LOCAL,Gentile,"  62nd Precinct Community Council, Inc.",112957305,,1000,DYCD,,1925 Bath Avenue,,Brooklyn,NY,11214,"Funds will support auxiliary and explorer post police and promote community relations, including with a national night out, community events, and monthly community meetings.","NIA Community Services Network, Inc.",112697931
LOCAL,Gentile,  68th Precinct Community Council,203970147,*,1000,DYCD,,333 65th Street,,Brooklyn,NY,11220,"Funds will support National Night Out Against Crime, an event to bring police and the community together against crime and drugs, educate residents about crime statistics and prevention, and improve community/police relations.","NIA Community Services Network, Inc.",112697931
YOUTH,Gentile,"  68th Precinct Youth Council, Inc.",112478910,*,3500,DYCD,,333 65th Street,,Brooklyn,NY,11220,Funds will offset the cost of sports equipment for youth in the 68th Police Precinct and surrounding neighborhoods.,,
LOCAL,Cumbo,"  71st Precinct Community Council, Inc.",043784543,,5500,DYCD,,421 Empire Boulevard,,Brooklyn,NY,11225-3217,"Funds for purchasing office supplies, advertisement of events via printing of flyers, community radio, building of stage, equipment rental of inflatable rides for the youths, purchase of food, transportation, entertainment, insurance, toys, dinners and special events for seniors for 5 main events.",,
YOUTH,Mealy,"  71st Precinct Community Council, Inc.",043784543,,10000,DYCD,,421 Empire Boulevard,,Brooklyn,NY,11225-3217,"The Purpose of Funds will be utilized for 5 specific programming which involves the community at large, our Seniors and our Youths: 1) Family Day Picnic is held the 1st Sunday in June. 2)National Night Out held the 1st Tuesday in August 3) Safe Path Walk held on October 31st. 4) Thanksgiving Turkey Giveaway held on the 3rd Thursday in November and 5) Holiday Party held on the 3rd Thursday in December.  Funds at all these events are utilized for purchasing office supplies, advertisement of these events via printing of flyers, community radio, building of stage, equipment rental of inflatable rides for the youths, purchase of food for these events, transportation, entertainment, insurance, toys, dinners and special events for seniors; uniforms for Explorers Program for Life which involves youths of the community. ",,
LOCAL,Crowley,"  75th Street Block Association, Inc.",113442596,,1000,DFTA,,60-52 75th Street,,Middle Village,NY,11379,Funding to defray costs of operating expense including materials and annual liability insurance.,Maspeth Town Hall,237259702
YOUTH,Levin,"  78th Precinct Youth Council, Inc.",112947101,,8000,DYCD,,123 Seventh Avenue,,Brooklyn,NY,11215,To pay the fees for permits that allow youth athletes to practice and train in public school gymnasiums.,,
YOUTH,Lander,"  78th Precinct Youth Council, Inc.",112947101,,10000,DYCD,,123 Seventh Avenue,,Brooklyn,NY,11215,"To support training and practice for youth baseball, soccer and other sports programs.",,
LOCAL,Cornegy,  81st Precinct Community Council,800901280,,5000,DYCD,,30 Ralph Avenue,,Brooklyn,NY,,To provide annual event consisting of entertainment and services to youth members of the community.,,
YOUTH,Mealy,  81st Precinct Community Council,800901280,,5000,DYCD,,30 Ralph Avenue,,Brooklyn,NY,,"Annual Children Holiday Party-provides toys to approximately 300 children and 50 bikes through a lottery. Annual Senior Thanksgiving Dinner-feeds over 300 sick and shut-ins, as well as, 100 event attendees. Annual Children's Summer Camp-provides formal cost for over 80 neighborhood children from ages 6-12. National Night-Out in the Park, this event provides Water Rides, Entertainment, Food, School Supplies and also, participants from various agencies, as well as, community vendors offering free information and answers any related agency questions. Annual Holiday Musical Concert; Yearly Events-Pre-Mothers Day Theatre and our Youth Appreciation Breakfast.",,
YOUTH,Dromm,  82nd Street Academics,200788352,,5000,DYCD,,81-10 35th Avenue,,Jackson Heights,NY,11372,To support after-school program at the Renaissance Charter School,,
YOUTH,Dromm,  82nd Street Academics,200788352,,36000,DYCD,,81-10 35th Avenue,,Jackson Heights,NY,11372,To support after-school program at the Renaissance Charter School,,
